Serial_No,Date(%y-%m-%d),District,Crop,N(kg/ha),P(kg/ha),K(kg/ha),pH,Rainfall(mm),Temperature(°C),Humidity(%),Market_Price(INR/kg),Yield(kg/ha),Total_Market_Price(INR/ha)
1,2025-02-04,Trichy,Chickpea,89,56,42,7.0,529,23,79,47.9,3610.0,172919.0
2,2025-02-15,Madurai,Cabbage,137,75,83,6.7,1018,22,51,58.14,4430.0,257560.2
3,2025-02-10,Madurai,Ginger,91,53,58,7.3,1576,28,79,46.33,4020.0,186246.6
4,2025-01-21,Salem,Tapioca,87,44,93,6.9,1442,25,58,128.32,14180.0,1819577.6
5,2025-01-15,Erode,Apple,159,89,123,6.8,868,25,84,167.92,12600.0,2115792.0
6,2025-01-21,Chennai,Pumpkin,125,45,87,7.4,1284,29,60,171.21,19250.0,3295792.5
7,2025-01-29,Virdhunagar,Cotton,86,43,87,7.5,693,29,89,117.85,1500.0,176775.0
8,2025-01-29,Tiruvannamalai,Apple,133,67,99,6.0,1190,28,71,22.59,13130.0,296606.7
9,2025-01-20,Dindigul,Ginger,94,57,82,6.7,1665,31,80,62.38,7110.0,443521.8
10,2025-02-18,Ariyalur,Tapioca,122,59,78,7.1,1307,29,71,135.79,15550.0,2111534.5
11,2025-01-08,Krishnagiri,Onion,136,63,95,6.4,657,22,69,151.46,16430.0,2488487.8
12,2025-01-18,Ooty,Wheat,99,55,88,6.9,913,21,60,174.14,6850.0,1192859.0
13,2025-01-03,Tirupur,Banana,165,80,137,7.4,1653,28,89,113.82,17320.0,1971362.4
14,2025-02-18,Kanchipuram,Soybean,124,52,60,7.2,1059,25,74,60.27,3160.0,190453.2
15,2025-02-02,Perambalur,Chickpea,75,36,46,7.2,752,21,76,150.47,3820.0,574795.4
16,2025-02-08,Ramanathapuram,Pumpkin,81,49,77,6.2,1238,30,75,98.61,15380.0,1516621.8
17,2025-01-07,Ariyalur,Mango,100,53,91,6.7,1146,28,89,60.94,14230.0,867176.2
18,2025-02-03,Thoothukudi,Onion,115,71,88,7.2,1011,22,56,115.41,19710.0,2274731.1
